feature,family,hypothesis,horizon,n,q1_mean,q1_hac_t,q5_mean,q5_hac_t,q5_minus_q1_mean,spearman_rho_10d,etf_agreement_count,robustness_score
z_delta_imbalance_20d,Baseline-relative (z-score),H6,10,300,-0.0025955448099437327,-0.458440541879526,0.0029838781006636694,0.7118637103924624,0.0055794229106074025,0.048543874423133564,5,10
z_delta_imbalance_20d,Baseline-relative (z-score),H6,20,300,-0.0013067542243833546,-0.335492511992932,0.015960158770426867,1.737072714872703,0.017266912994810223,0.048543874423133564,5,10
z_gross_premium_20d,Baseline-relative (z-score),H6,1,300,-0.0007135481907275995,-0.39352070597065464,0.003122293433888836,1.725946999419231,0.0038358416246164354,0.3317680713715994,6,41
z_gross_premium_20d,Baseline-relative (z-score),H6,3,300,-0.0063161296392522884,-1.8560501968159913,0.007858299348381571,3.02447794866158,0.01417442898763386,0.3317680713715994,6,41
z_gross_premium_20d,Baseline-relative (z-score),H6,5,300,-0.008404151634311748,-2.133992058436748,0.012011415169429555,2.8193507525811095,0.020415566803741302,0.3317680713715994,6,41
z_gross_premium_20d,Baseline-relative (z-score),H6,10,300,-0.014501885143615358,-4.280816401481801,0.022327819099351533,2.5988117267262605,0.03682970424296689,0.3317680713715994,6,41
z_gross_premium_20d,Baseline-relative (z-score),H6,20,300,-0.01364679357798193,-3.118395706458287,0.023078936147750313,3.291733198705375,0.036725729725732244,0.3317680713715994,6,41
z_large_trade_premium_20d,Baseline-relative (z-score),H6,1,300,0.0006121015305105356,0.31145696743648854,0.0009025013097643327,0.6683987985658355,0.0002903997792537971,0.21300534885359854,5,20
z_large_trade_premium_20d,Baseline-relative (z-score),H6,3,300,-0.00271509689654269,-0.8060009058177662,0.003408933325727693,1.7031346072401556,0.0061240302222703834,0.21300534885359854,5,20
z_large_trade_premium_20d,Baseline-relative (z-score),H6,5,300,-0.0047125921548282065,-1.0971991438899455,0.004389659448766641,1.8158721737653316,0.009102251603594846,0.21300534885359854,5,20
z_large_trade_premium_20d,Baseline-relative (z-score),H6,10,300,-0.009589520694640408,-1.7755131638538473,0.008113937971616093,1.6555733189095727,0.0177034586662565,0.21300534885359854,5,20
z_large_trade_premium_20d,Baseline-relative (z-score),H6,20,300,-0.00198084962227029,-0.3723937010765503,0.013957799172077904,2.018195916931655,0.015938648794348195,0.21300534885359854,5,20
z_0dte_share_20d,Baseline-relative (z-score),H6,1,300,0.0009303722648803729,0.7072582300485039,0.0024796131343878553,1.2726456221694507,0.0015492408695074824,-0.028900092451014263,4,14
z_0dte_share_20d,Baseline-relative (z-score),H6,3,300,0.0016104374258865588,0.8514949031221533,0.0026499316229335805,0.6523904581873242,0.0010394941970470217,-0.028900092451014263,4,14
z_0dte_share_20d,Baseline-relative (z-score),H6,5,300,0.0010962932926050792,0.39404377869537155,0.0009471353807920604,0.21121543433442244,-0.00014915791181301877,-0.028900092451014263,4,14
z_0dte_share_20d,Baseline-relative (z-score),H6,10,300,0.005146184225089958,0.7609354193067961,0.0073163154873390045,0.9475858339688148,0.0021701312622490468,-0.028900092451014263,4,14
z_0dte_share_20d,Baseline-relative (z-score),H6,20,300,0.02419591766080695,1.6405594674921653,0.019804228481775942,2.666793148376472,-0.0043916891790310095,-0.028900092451014263,4,14
