feature,scope,ticker,horizon,q1_n,q1_mean,q1_hac_t,q5_n,q5_mean,q5_hac_t,q5_minus_q1_mean
delta_imbalance_ratio,pooled,ALL,10,60,-0.005802878011200313,-0.76248647314543,60,-0.0034750062260493503,-0.3034158719719189,0.002327871785150963
delta_imbalance_ratio,pooled,ALL,20,50,-0.0070928350281799155,-0.7939050959113708,48,0.00386845221360056,0.2297556837927446,0.010961287241780476
delta_imbalance_ratio,per_etf,SPY,1,12,-0.0004106647811460973,-0.22281484713537214,12,0.0033942453367903267,1.9236041366386216,0.003804910117936424
delta_imbalance_ratio,per_etf,SPY,3,11,-0.002081797015219196,-0.7624721249446654,12,0.006362638938333572,2.313395062460738,0.008444435953552768
delta_imbalance_ratio,per_etf,SPY,5,10,-0.004659133036736607,-2.5701343574673308,12,0.005319227650967605,1.949897475610112,0.009978360687704212
delta_imbalance_ratio,per_etf,SPY,10,8,0.0004871972946270814,0.2001111081677862,12,0.005157183731005238,1.3632076671557083,0.004669986436378157
delta_imbalance_ratio,per_etf,SPY,20,5,0.01683143366293476,3.5125895922915236,11,0.007742786744177408,3.6247313854870913,-0.00908864691875735
delta_imbalance_ratio,per_etf,QQQ,1,12,-0.0010040522676986556,-0.534322588990447,12,0.0014063635407612167,0.28300683660301934,0.0024104158084598724
delta_imbalance_ratio,per_etf,QQQ,3,12,0.0012204784943395202,0.3295620064213488,12,0.004899078165066906,0.6013318479809132,0.0036785996707273854
delta_imbalance_ratio,per_etf,QQQ,5,12,-0.0039981960437139126,-1.9882804057130847,11,-0.0007827205062321516,-0.060879589526744216,0.003215475537481761
delta_imbalance_ratio,per_etf,QQQ,10,12,-0.00535428250751684,-0.7980041617333616,11,0.007505217348053913,0.7008681318547048,0.012859499855570753
delta_imbalance_ratio,per_etf,QQQ,20,7,-0.00389680248324301,-1.18728809499025,11,0.0033145562814234186,0.2646751410438161,0.0072113587646664284
delta_imbalance_ratio,per_etf,IWM,1,12,0.0001458917780213694,0.05918621141034401,12,-0.0005895789249665181,-0.29225470924312474,-0.0007354707029878875
delta_imbalance_ratio,per_etf,IWM,3,12,-0.00020188625079780217,-0.08334762112987336,11,-0.0038060941817007576,-2.4411805692437674,-0.0036042079309029553
delta_imbalance_ratio,per_etf,IWM,5,12,-0.004116516345992398,-0.9897975297548314,10,-0.006636403161768778,-1.7236608279827283,-0.0025198868157763803
delta_imbalance_ratio,per_etf,IWM,10,10,-0.005476331901396592,-0.9589656169587246,9,-0.013690989437938018,-1.9543006909137224,-0.008214657536541426
delta_imbalance_ratio,per_etf,IWM,20,8,-0.00885960793996815,-1.2075791234846405,5,-0.013726740763119461,-2.729958203337315,-0.004867132823151311
delta_imbalance_ratio,per_etf,SMH,1,12,-0.00662997664091151,-1.206725358252147,12,0.007322393856068772,0.753228651010712,0.013952370496980282
delta_imbalance_ratio,per_etf,SMH,3,12,-0.007997390069053126,-0.652650127774561,12,-0.005550316415429181,-0.4267796859014434,0.002447073653623945
